NaN,15.871,16.213,16.555,16.897,17.239,17.666,18.037,18.464,18.834,19.262,19.632,20.059,20.515,20.971,21.427,21.883,22.424,22.909,23.365,23.906,24.391,24.932,25.502,26.072,26.642,27.211,27.781,28.437,29.035,29.69,30.374,30.973,31.628,32.312,33.081,33.793,34.563,35.275,36.044,36.842,37.64,38.438,39.321,40.148,41.031,41.943,42.854,43.852,44.792,45.789,46.73,47.727,48.838,49.892,51.003,52.143,53.283,54.423,55.563,56.788,58.041,59.295,60.634,62.002,63.37,64.737,66.105,67.558,69.04,70.607,72.117,73.684,75.28,76.961,78.671,80.38,82.09,83.885,85.709,87.618,89.555,91.493,93.516,95.568,97.704,99.785,102.007,104.201,106.452,108.817,111.211,113.433,115.684,118.817,121.383,123.663,126.795,129.362,132.494,135.06,138.193,141.613,144.179,147.312,150.731,154.15,157.57,160.989,164.408,167.828,171.247
8,0,1250,2500,3750,2500,8750,7500,16250,26250,41250,47500,57500,73750,68750,95000,102500,113750,145000,177500,190000,206250,241250,323750,338750,366250,406250,506250,595000,665000,698750,826250,975000,1037500,1070000,1215000,1243750,1348750,1392500,1538750,1596250,1688750,1835000,1836250,1857500,1925000,1951250,1960000,2017500,2042500,2098750,2013750,2127500,2030000,1971250,1792500,1726250,1797500,1723750,1561250,1421250,1273750,1265000,1046250,918750,747500,665000,541250,468750,361250,282500,221250,171250,153750,105000,82500,45000,62500,47500,23750,27500,26250,25000,33750,31250,23750,20000,17500,20000,13750,12500,7500,5000,13750,7500,7500,7500,3750,3750,2500,1250,2500,2500,1250,2500,5000,8750,6250,6250,1250,3750,0
10,0,0,2500,7500,1250,5000,10000,6250,13750,17500,13750,21250,37500,46250,37500,47500,63750,76250,92500,116250,106250,157500,168750,201250,248750,248750,327500,385000,406250,515000,555000,633750,747500,743750,866250,903750,1120000,1091250,1282500,1313750,1412500,1516250,1575000,1637500,1673750,1811250,1871250,1967500,1952500,2066250,2056250,2087500,2040000,2173750,2138750,2060000,2043750,1953750,1981250,1967500,1900000,1713750,1656250,1561250,1468750,1313750,1133750,1037500,848750,693750,610000,513750,411250,307500,265000,180000,128750,118750,81250,71250,67500,25000,33750,37500,23750,27500,27500,22500,18750,10000,13750,11250,11250,8750,5000,3750,3750,2500,6250,5000,6250,3750,5000,5000,6250,7500,7500,13750,1250,2500,0
12,0,0,0,0,1250,2500,1250,5000,3750,5000,15000,17500,18750,18750,18750,23750,43750,41250,30000,61250,56250,52500,78750,75000,88750,116250,125000,135000,182500,198750,252500,290000,341250,437500,412500,513750,613750,667500,731250,831250,922500,1060000,1051250,1162500,1358750,1396250,1397500,1463750,1546250,1666250,1846250,1803750,1827500,2006250,1891250,1971250,2066250,2077500,2006250,2012500,2016250,1962500,1981250,1938750,1895000,1895000,1850000,1678750,1575000,1551250,1321250,1222500,1098750,976250,822500,697500,648750,546250,353750,305000,256250,171250,162500,118750,102500,52500,47500,50000,30000,16250,16250,23750,8750,15000,6250,10000,7500,5000,6250,6250,2500,1250,5000,3750,2500,5000,3750,10000,6250,0,0
14,0,0,1000,1000,1000,1000,1000,2000,2000,2000,6000,5000,7000,12000,13000,10000,10000,15000,22000,19000,15000,25000,20000,37000,35000,42000,60000,55000,66000,65000,91000,85000,97000,151000,172000,191000,216000,270000,309000,323000,391000,442000,518000,554000,709000,692000,898000,886000,946000,1019000,1169000,1178000,1377000,1440000,1462000,1499000,1600000,1634000,1639000,1797000,1744000,1853000,1765000,1833000,1834000,1882000,1791000,1835000,1784000,1793000,1756000,1749000,1633000,1583000,1532000,1391000,1244000,1187000,1020000,937000,848000,676000,568000,472000,388000,264000,224000,173000,140000,95000,65000,61000,48000,38000,25000,24000,14000,15000,12000,16000,10000,7000,1000,6000,6000,8000,9000,7000,6000,0,0
16,0,0,0,1250,0,1250,1250,1250,3750,2500,3750,6250,10000,7500,2500,11250,7500,11250,13750,11250,22500,15000,10000,27500,21250,33750,33750,30000,37500,43750,40000,46250,62500,65000,87500,112500,108750,135000,146250,182500,193750,247500,261250,320000,385000,438750,512500,540000,657500,716250,740000,892500,951250,1021250,1196250,1271250,1411250,1522500,1462500,1627500,1601250,1796250,1847500,1903750,2073750,2015000,2011250,2062500,2137500,2083750,2112500,2111250,2145000,2118750,2076250,1985000,1827500,1786250,1651250,1571250,1412500,1236250,1126250,1006250,898750,768750,605000,525000,418750,353750,322500,217500,181250,157500,95000,58750,56250,40000,53750,42500,25000,21250,16250,16250,20000,7500,7500,6250,5000,0,0
18,0,0,0,1250,0,1250,1250,1250,2500,1250,1250,6250,8750,11250,3750,11250,8750,13750,8750,13750,8750,12500,11250,13750,18750,15000,12500,27500,20000,43750,21250,33750,25000,61250,56250,60000,68750,77500,85000,106250,128750,123750,148750,182500,215000,238750,290000,317500,371250,442500,477500,563750,655000,736250,818750,952500,972500,1138750,1285000,1412500,1476250,1616250,1733750,1773750,1956250,2046250,1978750,2095000,2117500,2177500,2171250,2086250,2092500,2037500,2110000,1913750,1885000,1721250,1772500,1588750,1625000,1455000,1365000,1272500,1230000,970000,920000,891250,761250,663750,515000,490000,418750,340000,268750,251250,190000,158750,112500,73750,72500,37500,43750,32500,21250,12500,11250,10000,3750,5000,0
20,0,3750,0,2500,0,0,1250,2500,6250,3750,6250,6250,10000,16250,8750,17500,16250,25000,15000,35000,37500,26250,42500,43750,53750,40000,70000,57500,67500,77500,85000,90000,131250,133750,146250,138750,133750,166250,197500,215000,226250,266250,297500,343750,372500,441250,492500,603750,673750,616250,826250,880000,966250,1066250,1275000,1386250,1577500,1576250,1662500,1845000,1833750,1873750,2008750,1921250,2040000,2065000,2005000,1988750,1902500,1873750,1861250,1751250,1855000,1773750,1578750,1556250,1467500,1506250,1446250,1336250,1313750,1260000,1165000,1132500,1065000,926250,967500,858750,790000,725000,623750,591250,531250,422500,381250,365000,312500,210000,176250,142500,112500,93750,90000,55000,60000,27500,33750,13750,7500,1250,0
22,0,1250,0,1250,5000,3750,2500,7500,2500,10000,7500,17500,22500,23750,23750,32500,26250,37500,48750,57500,70000,63750,81250,85000,103750,127500,122500,146250,188750,196250,230000,252500,276250,327500,355000,395000,495000,517500,586250,682500,765000,807500,956250,1057500,1132500,1281250,1456250,1487500,1648750,1772500,1870000,2143750,2173750,2150000,2198750,2383750,2465000,2470000,2408750,2428750,2256250,2278750,2245000,2002500,2020000,1795000,1757500,1705000,1548750,1475000,1391250,1263750,1301250,1197500,1137500,1042500,1128750,1005000,1013750,887500,848750,776250,788750,778750,671250,618750,617500,600000,557500,438750,431250,330000,337500,267500,280000,235000,193750,132500,143750,111250,75000,52500,65000,45000,36250,22500,12500,10000,6250,1250,0
0,0,0,1250,1250,2500,6250,2500,6250,6250,12500,8750,21250,22500,31250,31250,58750,37500,50000,48750,86250,105000,130000,138750,187500,196250,206250,265000,288750,373750,421250,490000,585000,665000,783750,883750,910000,1163750,1228750,1372500,1558750,1676250,1738750,1882500,2181250,2182500,2382500,2415000,2516250,2663750,2670000,2822500,2983750,2976250,2998750,2936250,2903750,2941250,2563750,2502500,2436250,2273750,2133750,1913750,1811250,1786250,1515000,1328750,1233750,1115000,1041250,970000,886250,826250,718750,732500,650000,616250,558750,533750,510000,477500,466250,430000,387500,363750,312500,292500,292500,270000,235000,217500,151250,168750,141250,130000,101250,87500,55000,52500,36250,42500,27500,22500,20000,18750,11250,3750,8750,2500,0,0
